"","country","decade","genre_family","count","population"
"1","andorra",2000,"metal",1,78052.6315789474
"2","argentina",1960,"countryfolk",1,21993386.6
"3","argentina",1960,"rock",1,21993386.6
"4","argentina",1970,"rock",7,25663601.5
"5","argentina",1970,"hiphop",1,25663601.5
"6","argentina",1970,"countryfolk",1,25663601.5
"7","argentina",1980,"metal",2,29994547.2
"8","argentina",1980,"rock",21,29994547.2
"9","argentina",1980,"hiphop",3,29994547.2
"10","argentina",1980,"countryfolk",3,29994547.2
"11","argentina",1990,"countryfolk",8,34586241
"12","argentina",1990,"hiphop",12,34586241
"13","argentina",1990,"rock",47,34586241
"14","argentina",1990,"metal",9,34586241
"15","argentina",2000,"electro",2,40566072.4210526
"16","argentina",2000,"hiphop",15,40566072.4210526
"17","argentina",2000,"countryfolk",7,40566072.4210526
"18","argentina",2000,"rock",61,40566072.4210526
"19","argentina",2000,"metal",12,40566072.4210526
"20","australia",1960,"rock",2,11272847.7
"21","australia",1960,"countryfolk",1,11272847.7
"22","australia",1960,"hiphop",2,11272847.7
"23","australia",1970,"hiphop",7,13671400
"24","australia",1970,"rock",10,13671400
"25","australia",1980,"jazz",1,15709690
"26","australia",1980,"metal",1,15709690
"27","australia",1980,"electro",1,15709690
"28","australia",1980,"hiphop",12,15709690
"29","australia",1980,"rock",29,15709690
"30","australia",1990,"electro",2,17990310
"31","australia",1990,"hiphop",19,17990310
"32","australia",1990,"countryfolk",6,17990310
"33","australia",1990,"metal",14,17990310
"34","australia",1990,"rock",59,17990310
"35","australia",2000,"electro",13,21810626.5263158
"36","australia",2000,"hiphop",94,21810626.5263158
"37","australia",2000,"countryfolk",20,21810626.5263158
"38","australia",2000,"rock",126,21810626.5263158
"39","australia",2000,"jazz",1,21810626.5263158
"40","australia",2000,"metal",37,21810626.5263158
"41","austria",1970,"rock",2,7552151
"42","austria",1970,"hiphop",5,7552151
"43","austria",1980,"hiphop",8,7572987.6
"44","austria",1980,"metal",1,7572987.6
"45","austria",1980,"rock",7,7572987.6
"46","austria",1980,"countryfolk",1,7572987.6
"47","austria",1990,"countryfolk",2,7895965
"48","austria",1990,"electro",1,7895965
"49","austria",1990,"rock",7,7895965
"50","austria",1990,"hiphop",7,7895965
"51","austria",1990,"metal",10,7895965
"52","austria",2000,"countryfolk",4,8374455.36842105
"53","austria",2000,"metal",20,8374455.36842105
"54","austria",2000,"rock",19,8374455.36842105
"55","austria",2000,"electro",8,8374455.36842105
"56","austria",2000,"hiphop",17,8374455.36842105
"57","azerbaijan",2000,"hiphop",1,8932460.89473684
"58","bahamas, the",1970,"countryfolk",1,187413.7
"59","bahamas, the",2000,"hiphop",1,345387.368421053
"60","bangladesh",2000,"rock",1,145539173.421053
"61","belarus",1990,"metal",1,10163173.8
"62","belarus",2000,"metal",5,9605621.84210526
"63","belarus",2000,"rock",4,9605621.84210526
"64","belarus",2000,"hiphop",1,9605621.84210526
"65","belgium",1960,"hiphop",1,9406315.1
"66","belgium",1960,"jazz",1,9406315.1
